con_id,cli_ref,p_type,val_mo,st,dt_start
CON_000001,C_00995,F1,51.48,0,2020-07-26
CON_000002,C_00098,M2,112.79,1,2021-11-26
CON_000003,C_00506,F1,30.34,1,2020-02-23
CON_000004,C_01821,F1,81.4,1,2022-07-18
CON_000005,C_01071,F1,77.26,1,2022-11-25
CON_000006,C_01624,F2,27.68,1,2021-11-03
CON_000007,C_03282,F2,49.23,1,2021-01-29
CON_000008,C_03050,M1,74.11,1,2020-08-09
CON_000009,C_00689,M1,34.65,1,2020-07-29
CON_000010,C_04771,M1,99.07,1,2020-01-26
CON_000011,C_04802,M1,117.08,1,2020-05-18
CON_000012,C_02121,F1,37.55,1,2021-01-31
CON_000013,C_00615,F2,34.63,1,2023-03-19
CON_000014,C_00179,F2,62.77,1,2020-09-15
CON_000015,C_00529,F2,93.52,0,2022-11-08
CON_000016,C_01620,F2,44.57,-1,2021-06-08
CON_000017,C_03633,M1,17.09,1,2021-12-28
CON_000018,C_01056,F1,71.83,1,2022-05-12
CON_000019,C_00754,F2,115.44,1,2022-09-12
CON_000020,C_02717,M2,56.08,1,2022-06-29
CON_000021,C_01004,F1,59.11,1,2021-01-15
CON_000022,C_00350,M2,116.73,1,2021-05-12
CON_000023,C_03777,F1,87.93,1,2020-10-08
CON_000024,C_00415,F1,90.51,1,2020-03-31
CON_000025,C_01377,F1,74.08,-1,2020-05-03
CON_000026,C_04702,M2,117.33,1,2020-09-18
CON_000027,C_03549,F2,87.33,1,2021-09-30
CON_000028,C_03236,F2,108.98,1,2023-04-12
CON_000029,C_04065,M2,88.43,1,2022-06-11
CON_000030,C_00242,F2,92.19,1,2022-11-16
CON_000031,C_03136,M1,45.49,1,2022-01-02
CON_000032,C_03496,F2,46.87,1,2021-09-29
CON_000033,C_01416,M1,97.21,-1,2023-04-10
CON_000034,C_02900,M1,46.15,1,2023-01-13
CON_000035,C_01759,M1,74.09,0,2020-10-25
CON_000036,C_01534,M2,41.18,1,2020-10-28
CON_000037,C_02253,F2,100.78,1,2022-08-19
CON_000038,C_02293,F2,26.6,1,2021-09-24
CON_000039,C_03654,M2,102.09,1,2021-12-03
CON_000040,C_01218,M2,78.29,1,2021-08-19
CON_000041,C_00284,F2,34.63,1,2022-01-25
CON_000042,C_02014,M2,71.91,1,2020-01-17
CON_000043,C_02418,M2,44.66,1,2022-11-26
CON_000044,C_04087,M1,48.96,1,2020-10-23
CON_000045,C_03376,M2,51.91,1,2020-04-27
CON_000046,C_04512,M1,21.65,1,2021-05-01
CON_000047,C_03925,F1,118.53,1,2022-11-04
CON_000048,C_00500,M1,18.31,1,2023-02-19
CON_000049,C_00719,M1,84.56,1,2020-04-21
CON_000050,C_02292,M2,53.98,1,2022-05-14
CON_000051,C_03138,F2,82.83,1,2021-12-05
CON_000052,C_01125,F1,52.41,0,2021-02-04
CON_000053,C_03435,F1,85.74,1,2021-02-14
CON_000054,C_01634,F1,91.57,1,2021-02-16
CON_000055,C_04308,F2,87.51,1,2020-05-20
CON_000056,C_02042,F1,26.97,1,2021-11-30
CON_000057,C_04454,F1,83.97,1,2021-01-22
CON_000058,C_00160,F2,44.4,1,2022-09-01
CON_000059,C_03134,F1,18.02,1,2022-08-15
CON_000060,C_02942,M2,58.56,1,2021-11-09
CON_000061,C_03930,M2,60.52,-1,2023-03-30
CON_000062,C_04461,M1,64.05,1,2023-03-05
CON_000063,C_03971,M1,89.01,1,2021-11-18
CON_000064,C_02819,M1,47.43,1,2021-09-05
CON_000065,C_04634,M2,48.1,1,2022-05-07
CON_000066,C_04116,M2,21.36,1,2021-11-04
CON_000067,C_02635,M2,87.12,1,2020-11-28
CON_000068,C_03182,M1,74.62,1,2020-08-02
CON_000069,C_02216,M1,51.69,1,2022-07-19
CON_000070,C_01474,M1,89.04,0,2020-03-27
CON_000071,C_00214,M1,71.42,1,2022-10-12
CON_000072,C_02613,M1,64.27,1,2021-03-25
CON_000073,C_04892,M1,68.69,1,2020-01-08
CON_000074,C_01795,M2,81.82,-1,2021-04-01
CON_000075,C_00241,F2,84.3,1,2021-04-16
CON_000076,C_02302,F2,45.34,0,2022-08-13
CON_000077,C_00480,M1,29.78,1,2021-03-12
CON_000078,C_03865,F2,31.45,1,2021-05-04
CON_000079,C_04338,F2,82.14,1,2022-09-11
CON_000080,C_02929,M2,106.65,1,2021-11-09
CON_000081,C_04785,M1,58.0,1,2022-02-08
CON_000082,C_01907,M1,32.8,1,2021-02-24
CON_000083,C_01308,F2,94.44,1,2022-03-30
CON_000084,C_00821,M1,102.41,1,2021-01-12
CON_000085,C_02031,M1,107.46,1,2020-01-14
CON_000086,C_01976,M1,78.72,0,2022-01-13
CON_000087,C_02184,M1,105.38,0,2020-01-21
CON_000088,C_04372,F2,16.62,1,2020-05-31
CON_000089,C_00459,F1,26.26,-1,2022-01-02
CON_000090,C_01798,F2,24.72,1,2020-03-02
CON_000091,C_04717,M2,89.82,1,2023-02-10
CON_000092,C_03182,F1,22.31,1,2020-08-23
CON_000093,C_02907,F1,67.12,1,2020-10-18
