u_id,c_ref,qty,ts,loc
U_0000001,CON_999999,24.65,2024-06-01 15:33:49,UK
U_0000002,CON_999999,1.81,2024-07-20 01:49:33,UK
U_0000003,CON_999999,13.21,2024-08-18 16:51:04,US
U_0000004,CON_999999,3.68,2024-08-17 18:10:10,US
U_0000005,CON_999999,33.96,2024-10-09 14:13:46,DE
U_0000006,CON_999999,3.67,2024-04-26 10:36:38,DE
U_0000007,CON_999999,3.46,2024-02-28 01:22:45,DE
U_0000008,CON_999999,8.12,2024-05-12 01:39:11,ES
U_0000009,CON_999999,26.06,2024-03-25 04:27:50,??
U_0000010,CON_999999,29.91,2024-03-03 17:32:59,FR
U_0000011,CON_999999,9.83,2024-07-19 02:02:06,??
U_0000012,CON_999999,11.24,2024-03-14 07:57:28,UK
U_0000013,CON_999999,6.63,2024-06-03 03:15:06,DE
U_0000014,CON_999999,11.28,2024-08-13 23:26:16,??
U_0000015,CON_999999,15.72,2024-03-31 04:22:12,??
U_0000016,CON_999999,5.33,2024-01-03 02:44:54,ES
U_0000017,CON_999999,7.74,2024-12-03 05:35:23,ES
U_0000018,CON_999999,6.17,2024-08-31 01:07:47,ES
U_0000019,CON_999999,6.61,2024-08-02 21:17:10,UK
U_0000020,CON_999999,17.66,2024-01-12 16:31:00,??
U_0000021,CON_999999,3.52,2024-01-29 12:31:38,FR
U_0000022,CON_999999,1.87,2024-02-08 01:49:13,DE
U_0000023,CON_999999,4.87,2024-09-08 12:28:48,DE
U_0000024,CON_999999,1.87,2024-09-16 15:25:49,FR
U_0000025,CON_999999,5.52,2024-11-20 13:30:49,UK
U_0000026,CON_999999,18.71,2024-07-29 01:34:40,ES
U_0000027,CON_999999,7.69,2024-07-09 01:05:44,DE
U_0000028,CON_999999,15.47,2024-03-08 21:46:40,ES
U_0000029,CON_999999,1.45,2024-02-14 00:51:25,FR
U_0000030,CON_999999,18.49,2024-09-09 17:55:14,DE
U_0000031,CON_999999,7.37,2024-03-14 17:00:49,DE
U_0000032,CON_999999,0.26,2024-08-08 11:31:29,DE
U_0000033,CON_999999,8.02,2024-07-30 02:07:37,US
U_0000034,CON_999999,24.19,2024-10-09 07:26:35,FR
U_0000035,CON_999999,0.66,2024-03-14 10:29:10,FR
U_0000036,CON_999999,6.99,2024-10-10 01:25:15,ES
U_0000037,CON_999999,19.77,2024-01-07 15:14:47,UK
U_0000038,CON_999999,0.08,2024-12-23 09:08:44,DE
U_0000039,CON_999999,7.97,2024-03-04 20:31:33,DE
U_0000040,CON_999999,5.15,2024-01-14 21:37:03,??
U_0000041,CON_999999,3.41,2024-09-26 19:38:23,DE
U_0000042,CON_999999,7.9,2024-01-12 07:55:59,FR
U_0000043,CON_999999,0.43,2024-11-10 16:33:31,DE
U_0000044,CON_999999,11.19,2024-05-17 10:17:24,FR
U_0000045,CON_999999,0.04,2024-06-15 05:44:01,UK
U_0000046,CON_999999,2.93,2024-08-31 13:12:44,UK
U_0000047,CON_999999,5.61,2024-09-08 04:13:10,FR
U_0000048,CON_999999,3.79,2024-05-12 14:29:17,DE
U_0000049,CON_999999,2.94,2024-06-22 18:19:58,??
U_0000050,CON_999999,14.22,2024-12-10 03:46:42,??
U_0000051,CON_999999,21.85,2024-11-16 19:53:16,FR
U_0000052,CON_999999,16.55,2024-03-04 20:07:08,DE
U_0000053,CON_999999,5.91,2024-09-15 11:48:42,DE
U_0000054,CON_999999,17.24,2024-03-19 19:34:37,US
U_0000055,CON_999999,20.29,2024-07-27 12:25:45,FR
U_0000056,CON_999999,4.21,2024-06-15 12:53:55,ES
U_0000057,CON_999999,2.67,2024-09-16 01:06:24,ES
U_0000058,CON_999999,0.83,2024-02-17 19:17:17,UK
U_0000059,CON_999999,5.22,2024-06-07 10:47:16,DE
U_0000060,CON_999999,23.39,2024-10-11 22:11:39,DE
U_0000061,CON_999999,6.58,2024-01-19 12:20:48,US
U_0000062,CON_999999,8.81,2024-01-30 14:25:15,DE
U_0000063,CON_999999,0.96,2024-07-30 16:26:58,UK
U_0000064,CON_999999,1.24,2024-11-15 00:37:39,FR
U_0000065,CON_999999,5.0,2024-06-15 20:22:51,FR
U_0000066,CON_999999,24.17,2024-01-28 03:12:08,UK
U_0000067,CON_999999,3.58,2024-08-13 20:39:58,??
U_0000068,CON_999999,16.8,2024-02-11 22:56:24,US
U_0000069,CON_999999,1.03,2024-12-09 09:53:46,FR
U_0000070,CON_999999,7.68,2024-11-27 00:38:13,UK
U_0000071,CON_999999,7.34,2024-04-04 17:25:17,DE
U_0000072,CON_999999,15.72,2024-11-17 14:36:32,FR
U_0000073,CON_999999,0.03,2024-10-25 09:48:52,UK
U_0000074,CON_999999,1.69,2024-10-09 20:18:09,US
U_0000075,CON_999999,1.98,2024-12-25 22:20:29,??
U_0000076,CON_999999,23.96,2024-11-24 20:16:25,FR
U_0000077,CON_999999,1.33,2024-10-20 12:01:44,US
U_0000078,CON_999999,0.3,2024-11-25 01:45:15,ES
U_0000079,CON_999999,6.12,2024-06-16 10:57:20,US
U_0000080,CON_999999,6.02,2024-09-20 00:05:02,UK
U_0000081,CON_999999,14.87,2024-04-15 03:07:14,DE
U_0000082,CON_999999,23.79,2024-01-23 23:53:37,FR
U_0000083,CON_999999,6.19,2024-09-25 01:37:53,US
U_0000084,CON_999999,21.27,2024-06-09 10:26:43,FR
U_0000085,CON_999999,10.33,2024-08-18 03:41:52,FR
U_0000086,CON_999999,2.46,2024-05-09 04:18:36,??
U_0000087,CON_999999,21.1,2024-07-29 02:16:41,UK
U_0000088,CON_999999,8.81,2024-01-13 10:57:26,UK
U_0000089,CON_999999,4.28,2024-10-30 16:35:45,ES
U_0000090,CON_999999,9.12,2024-05-20 07:06:54,DE
U_0000091,CON_999999,4.1,2024-10-16 08:43:07,ES
U_0000092,CON_999999,0.97,2024-12-19 23:21:02,UK
U_0000093,CON_999999,10.15,2024-01-30 06:03:43,ES
U_0000094,CON_999999,13.9,2024-07-17 20:47:27,US
U_0000095,CON_999999,10.44,2024-11-14 01:59:06,??
U_0000096,CON_999999,2.08,2024-04-30 13:18:17,US
U_0000097,CON_999999,25.1,2024-01-19 00:37:16,FR
U_0000098,CON_999999,0.2,2024-04-25 01:41:40,ES
U_0000099,CON_999999,3.24,2024-09-07 03:12:14,??
U_0000100,CON_999999,2.41,2024-07-10 20:19:54,ES
U_0000101,CON_999999,0.39,2024-12-18 18:13:17,UK
U_0000102,CON_999999,4.16,2024-07-08 10:39:56,ES
U_0000103,CON_999999,7.81,2024-04-03 17:11:54,??
U_0000104,CON_999999,17.13,2024-05-17 13:12:53,FR
U_0000105,CON_999999,36.6,2024-01-14 21:51:44,UK
U_0000106,CON_999999,13.21,2024-04-01 11:32:01,FR
U_0000107,CON_999999,5.06,2024-11-09 14:14:12,US
U_0000108,CON_999999,10.29,2024-02-16 23:17:00,UK
U_0000109,CON_999999,14.84,2024-07-18 01:42:37,DE
U_0000110,CON_999999,5.01,2024-10-31 21:49:39,FR
U_0000111,CON_999999,12.3,2024-07-24 09:49:58,DE
U_0000112,CON_999999,5.27,2024-04-27 06:45:32,DE
U_0000113,CON_999999,3.91,2024-08-16 01:00:09,FR
U_0000114,CON_999999,5.97,2024-06-27 15:19:32,UK
U_0000115,CON_999999,9.01,2024-11-18 21:32:42,??
U_0000116,CON_999999,10.38,2024-04-23 21:33:01,DE
U_0000117,CON_999999,3.53,2024-01-25 20:03:59,UK
U_0000118,CON_999999,6.78,2024-05-30 14:44:12,DE
U_0000119,CON_999999,19.25,2024-03-27 21:06:10,FR
U_0000120,CON_999999,29.94,2024-03-11 21:26:38,ES
U_0000121,CON_999999,2.06,2024-03-05 01:59:42,??
U_0000122,CON_999999,1.71,2024-07-23 10:12:24,UK
U_0000123,CON_999999,9.03,2024-05-01 11:05:49,DE
U_0000124,CON_999999,4.28,2024-05-17 17:23:05,ES
U_0000125,CON_999999,0.2,2024-06-06 19:56:39,??
U_0000126,CON_999999,3.41,2024-11-28 22:22:33,ES
U_0000127,CON_999999,13.15,2024-12-24 13:05:13,ES
